2025-09-05 18:52:57,941 - INFO - API isteği alındı: Sembol=BTCUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:53:29,280 - INFO - API isteği alındı: Sembol=BTCUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:54:03,022 - INFO - API isteği alındı: Sembol=BTCUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:54:16,164 - INFO - API isteği alındı: Sembol=TAUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:54:31,377 - INFO - API isteği alındı: Sembol=BTCUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:54:39,346 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:55:09,708 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:55:53,444 - INFO - API isteği alındı: Sembol=BTCUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:56:08,780 - INFO - API isteği alındı: Sembol=BTCUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:56:19,065 - INFO - API isteği alındı: Sembol=BTCUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 18:59:51,446 - INFO - API isteği alındı: Sembol=BTCUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:00:18,193 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:00:48,544 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:01:20,854 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:01:51,852 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:02:22,856 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:02:53,852 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:03:24,855 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:03:55,852 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:04:26,862 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:04:57,855 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:05:28,855 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:06:02,855 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:06:33,855 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:07:04,548 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:07:35,855 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:08:06,227 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:08:39,662 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:09:10,853 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:09:41,852 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:10:12,207 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:10:43,987 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
2025-09-05 19:11:15,321 - INFO - API isteği alındı: Sembol=MUSDT, Periyot=1h, Süre=7, TW Modu=True
